name,length,hip_mean,hip_std,hip_range,hip_max_change,valid,reason
L_22_1,35,1269.8754285714285,74.73446374016885,264.8299999999999,17.689999999999827,False,Hip movement too large: 264.8 > 255
L_22_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_22_3,32,1280.7178125,68.77759358679135,238.3599999999999,17.689999999999827,False,Hip too unstable: std=68.8
L_23_1,35,1269.8754285714285,74.73446374016885,264.8299999999999,17.689999999999827,False,Hip movement too large: 264.8 > 255
L_23_2,32,1280.7178125,68.77759358679135,238.3599999999999,17.689999999999827,False,Hip too unstable: std=68.8
L_23_3,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_24_1,36,1266.0905555555555,77.01609405920169,273.70000000000005,17.689999999999827,False,Hip movement too large: 273.7 > 255
L_24_2,32,1280.7178125,68.77759358679135,238.3599999999999,17.689999999999827,False,Hip too unstable: std=68.8
L_24_3,36,1266.0905555555555,77.01609405920169,273.70000000000005,17.689999999999827,False,Hip movement too large: 273.7 > 255
L_2_1,31,1284.3229032258064,66.83603684094037,226.56999999999994,17.689999999999827,False,Hip too unstable: std=66.8
L_2_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_2_3,34,1273.6220588235294,72.51350562965786,250.17999999999984,17.689999999999827,False,Hip too unstable: std=72.5
L_3_1,30,1287.7753333333333,65.16486935628907,223.57999999999993,17.689999999999827,False,Hip too unstable: std=65.2
L_3_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_4_1,32,1280.7178125,68.77759358679135,238.3599999999999,17.689999999999827,False,Hip too unstable: std=68.8
L_4_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_5_1,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_5_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_5_3,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_6_1,34,1273.6220588235294,72.51350562965786,250.17999999999984,17.689999999999827,False,Hip too unstable: std=72.5
L_6_2,33,1277.1518181818183,70.66778128571556,244.27999999999997,17.689999999999827,False,Hip too unstable: std=70.7
L_6_3,37,1262.1927027027027,79.4866388448874,285.45000000000005,17.689999999999827,False,Hip movement too large: 285.5 > 255
